system,agent,model,controller_coverage_n,countable_complete_n,artifact_backed_n,controller_inconsistency_n,recovered_abnormal_artifact_n,incomplete_agent_artifact_n,native_receipt_inconsistent_artifact_n,model_delivery_failure_n,excluded_unscoreable_receipt_n,remaining_to_120_by_controller,tasks_at_controller_n8,baseline_task_balanced_mean_provisional,current_contract_task_balanced_mean_provisional,current_runtime_terminal_receipts,model_cost_units,model_cost_status,formal_ranking_status
codex_gpt56sol,codex,gpt-5.6-sol,108,108,108,0,11,0,1,0,33,12,6,0.646074,0.581534,140,,NOT_ATTRIBUTABLE_FROM_OVERLAPPING_RUN_DELTAS,NOT_ALLOWED_BEFORE_JUDGE_V2_AND_CONTRACT_FREEZE
claude_opus5,claude-code,claude-opus-5,99,99,99,0,24,1,3,1,15,21,2,0.144335,0.228110,125,,NOT_ATTRIBUTABLE_FROM_OVERLAPPING_RUN_DELTAS,NOT_ALLOWED_BEFORE_JUDGE_V2_AND_CONTRACT_FREEZE
qwen38max,qwen-coder,openai/qwen3.8-max,98,98,98,0,8,0,0,0,61,22,3,0.547954,0.530081,153,,NOT_ATTRIBUTABLE_FROM_OVERLAPPING_RUN_DELTAS,NOT_ALLOWED_BEFORE_JUDGE_V2_AND_CONTRACT_FREEZE
