task_id,track,system,controller_coverage_n,baseline_n,current_contract_n,countable_complete_n,artifact_backed_n,controller_inconsistency_n,recovered_abnormal_artifact_n,incomplete_agent_artifact_n,native_receipt_inconsistent_artifact_n,model_delivery_failure_n,excluded_unscoreable_receipt_n,baseline_successes_at_0_70,baseline_empirical_success_rate,baseline_mean_provisional,baseline_median_provisional,baseline_stddev_provisional,current_contract_successes_at_0_70,current_contract_empirical_success_rate,current_contract_mean_provisional,current_contract_median_provisional,current_contract_stddev_provisional,standard_pass_at_8,pass_at_8_status,judge_status,windows_excel_status
P15-B-SALES-DISCOVERY-001,B,claude_opus5,6,1,5,6,6,0,2,0,0,0,1,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.032000,0.000000,0.064000,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-B-SALES-DISCOVERY-001,B,qwen38max,5,1,4,5,5,0,3,0,0,0,0,0,0.000000,0.160000,0.160000,0.000000,0,0.000000,0.180000,0.160000,0.034641,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-B-OPS-CLEAN-JOIN-001,B,codex_gpt56sol,6,1,5,6,6,0,1,0,0,0,3,0,0.000000,0.038462,0.038462,0.000000,0,0.000000,0.030770,0.038462,0.015385,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-B-OPS-CLEAN-JOIN-001,B,claude_opus5,7,1,6,7,7,0,0,1,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-B-OPS-CLEAN-JOIN-001,B,qwen38max,6,1,5,6,6,0,2,0,0,0,0,0,0.000000,0.038462,0.038462,0.000000,0,0.000000,0.038462,0.038462,0.000000,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-B-FIN-RECON-001,B,codex_gpt56sol,8,1,7,8,8,0,0,0,0,0,1,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.065934,0.000000,0.106259,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-B-FIN-RECON-001,B,claude_opus5,8,1,7,8,8,0,0,0,0,0,1,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-B-FIN-RECON-001,B,qwen38max,7,1,6,7,7,0,0,0,0,0,3,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-B-HEALTH-REPORT-001,B,codex_gpt56sol,8,1,7,8,8,0,1,0,0,0,4,1,1.000000,0.925926,0.925926,0.000000,1,0.142857,0.470900,0.518519,0.226341,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-B-HEALTH-REPORT-001,B,claude_opus5,7,1,6,7,7,0,1,0,0,0,1,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-B-HEALTH-REPORT-001,B,qwen38max,8,1,7,8,8,0,0,0,0,0,4,0,0.000000,0.037037,0.037037,0.000000,0,0.000000,0.216931,0.185185,0.175323,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-C-INVOICE-001,C,codex_gpt56sol,7,1,6,7,7,0,1,0,0,0,1,1,1.000000,1.000000,1.000000,0.000000,4,0.666667,0.873563,1.000000,0.178808,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-C-INVOICE-001,C,claude_opus5,7,1,6,7,7,0,1,0,0,0,1,0,0.000000,0.620690,0.620690,0.000000,0,0.000000,0.356322,0.448276,0.279904,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-C-INVOICE-001,C,qwen38max,8,1,7,8,8,0,0,0,0,0,4,1,1.000000,1.000000,1.000000,0.000000,1,0.142857,0.674877,0.620690,0.132731,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-C-QUOTE-001,C,codex_gpt56sol,7,1,6,7,7,0,2,0,0,0,0,0,0.000000,0.655172,0.655172,0.000000,0,0.000000,0.545977,0.620690,0.126568,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-C-QUOTE-001,C,claude_opus5,6,1,5,6,6,0,2,0,0,1,3,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.034483,0.000000,0.068966,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-C-QUOTE-001,C,qwen38max,7,1,6,7,7,0,0,0,0,0,2,0,0.000000,0.275862,0.275862,0.000000,0,0.000000,0.344828,0.344828,0.068966,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-C-RECEIPTS-001,C,codex_gpt56sol,8,1,7,8,8,0,0,0,0,0,2,0,0.000000,0.333333,0.333333,0.000000,0,0.000000,0.333333,0.333333,0.000000,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-C-RECEIPTS-001,C,claude_opus5,6,1,5,6,6,0,2,0,0,0,1,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.133333,0.000000,0.163299,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-C-RECEIPTS-001,C,qwen38max,7,1,6,7,7,0,0,0,0,0,2,0,0.000000,0.333333,0.333333,0.000000,0,0.000000,0.333333,0.333333,0.000000,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-C-PO-ADDENDUM-001,C,codex_gpt56sol,7,0,7,7,7,0,1,0,0,0,0,0,,,,,0,0.000000,0.433333,0.400000,0.129712,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-C-PO-ADDENDUM-001,C,claude_opus5,7,1,6,7,7,0,1,0,0,0,1,0,0.000000,0.400000,0.400000,0.000000,0,0.000000,0.427778,0.400000,0.119283,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-C-PO-ADDENDUM-001,C,qwen38max,6,1,5,6,6,0,1,0,0,0,5,0,0.000000,0.633333,0.633333,0.000000,1,0.200000,0.493333,0.400000,0.258543,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-C-STATEMENT-001,C,codex_gpt56sol,7,0,7,7,7,0,0,0,0,0,2,0,,,,,0,0.000000,0.576190,0.633333,0.090351,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-C-STATEMENT-001,C,claude_opus5,8,1,7,8,8,0,0,0,0,0,2,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.090476,0.000000,0.221620,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-C-STATEMENT-001,C,qwen38max,7,1,6,7,7,0,0,0,0,0,5,0,0.000000,0.633333,0.633333,0.000000,0,0.000000,0.450000,0.516667,0.226691,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-B-PUBLIC-PIVOT-001,B,codex_gpt56sol,6,0,6,6,6,0,1,0,1,0,6,0,,,,,5,0.833333,0.895833,1.000000,0.232924,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,PENDING
P15-B-PUBLIC-PIVOT-001,B,claude_opus5,7,0,7,7,7,0,5,0,3,0,2,0,,,,,4,0.571429,0.732143,1.000000,0.309295,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,PENDING
P15-B-PUBLIC-PIVOT-001,B,qwen38max,2,0,2,2,2,0,0,0,0,0,12,0,,,,,2,1.000000,1.000000,1.000000,0.000000,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,PENDING
